N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"74,100",900,-1.20%,100,"4,423,609","5,969,783",54.62,"20,248,727",15.75,17.07,
2,SK하이닉스,"142,800","4,800",+3.48%,"5,000","1,039,587","728,002",53.09,"5,396,970",-9.05,3.56,
3,LG에너지솔루션,"394,000","8,000",+2.07%,500,"921,960","234,000",4.80,"311,706",60.60,5.75,
4,삼성바이오로직스,"815,000","11,000",-1.33%,"2,500","580,068","71,174",11.46,"99,290",61.91,11.42,
5,현대차,"250,000","5,000",+2.04%,"5,000","528,829","211,532",36.10,"2,986,030",6.01,9.36,
6,삼성전자우,"62,000",100,+0.16%,100,"510,190","822,887",73.58,"1,830,824",13.18,N/A,
7,기아,"113,200","1,500",-1.31%,"5,000","455,114","402,044",40.49,"2,773,246",4.97,14.57,
8,셀트리온,"179,600",600,+0.34%,"1,000","391,493","217,981",22.87,"631,500",43.53,13.35,
9,POSCO홀딩스,"453,000","3,500",+0.78%,"5,000","383,108","84,571",27.40,"743,781",30.93,6.11,
10,NAVER,"206,000","1,500",+0.73%,100,"334,562","162,409",48.21,"626,153",39.88,3.29,
11,LG화학,"470,500","7,000",+1.51%,"5,000","332,137","70,592",41.75,"760,545",28.27,6.95,
12,삼성물산,"156,500","2,700",+1.76%,100,"290,451","185,592",22.12,"779,313",12.77,7.16,
13,KB금융,"67,600","2,900",+4.48%,"5,000","272,773","403,511",73.69,"2,390,183",5.80,9.17,
14,삼성SDI,"385,000","3,000",+0.79%,"5,000","264,743","68,765",43.31,"364,104",12.82,12.52,
15,카카오,"54,000",200,+0.37%,100,"240,300","444,999",26.89,"1,518,652",551.02,13.54,
16,신한지주,"44,150","1,300",+3.03%,"5,000","226,383","512,759",61.02,"3,715,845",5.58,9.70,
17,포스코퓨처엠,"282,500","13,500",+5.02%,500,"218,834","77,463",7.21,"662,216",270.59,4.87,
18,현대모비스,"230,500","1,500",+0.66%,"5,000","215,875","93,655",39.19,"287,171",6.37,6.80,
19,삼성생명,"83,000","1,600",+1.97%,500,"166,000","200,000",18.28,"819,240",6.64,5.73,
20,하나금융지주,"56,600","1,000",+1.80%,"5,000","165,474","292,357",70.14,"1,928,535",4.54,10.06,
21,LG전자,"98,200",700,-0.71%,"5,000","160,702","163,648",29.11,"600,876",26.39,6.61,
22,삼성화재,"333,000","30,500",+10.08%,500,"157,758","47,375",53.78,"277,427",9.24,9.70,
23,LG,"94,000",100,+0.11%,"5,000","147,863","157,301",35.79,"412,072",14.18,8.48,
24,메리츠금융지주,"71,800","1,800",+2.57%,500,"146,021","203,372",17.19,"686,332",6.64,30.32,
